codigo;nombre
123;NULL
24M;24 DE MAYO
3PO;3 POSTES
AMB;AMBATO
ANC;ANCONCITO
ARE;ARENILLAS
AZO;AZOGUES
BAA;BABA
BAB;BABAHOYO
BAH;BAHIA
BAL;BALZAR
BAO;BALAO
BDC;BAHIA DE CARAQUEZ
BFE;BUENA FE
BTA;BALLENITA
BUY;BUCAY
CAL;CALUMA
CAR;CARIAMANGA-LOJA
CAS;CASCOL
CAY;CAYAMBE
CHO;CHONE
COC;EL COCA
COL;COLIMES
CTA;CALCETA
CUE;CUENCA
DAU;DAULE
DUR;DURAN
ELC;EL CARMEN
ELE;EL EMPALME
ELG;EL GUABO
ELT;EL TRIUNFO
ELV;EL VALLE
ESM;ESMERALDAS
GBO;GUABO
GRE;GREENSBORO
GUA;GUARANDA
GYE;GUAYAQUIL
HUA;HUAQUILLAS
IBA;IBARRA
ISI;ISIDRO AYORA
JAM;JAMA
JAR;JARAMIJO
JIP;JIPIJAPA
JUJ;JUJAN
LAC;LA CONCORDIA
LAG;LAGO AGRIO
LAL;LA LIBERTAD
LAM;LA MANA
LAT;LATACUNGA
LJS;LA JOYA DE LOS SACHAS
LMS;LOMAS DE SARGENTILLO
LOJ;LOJA
LTR;LA TRONCAL
MAC;MACHALA
MAN;MANTA
MAR;MARCABELI
MAS;MACAS
MCH;MACHACHI
MCI;MACHACHI
MER;MERA
MIL;MILAGRO
MNG;MANGA DEL CURA
MON;MONTECRISTI
MRA;MACARA
NAR;NARANJAL
NOB;NOBOL
NTO;NARANJITO
OTA;OTAVALO
PAJ;PAJAN
PAL;PALESTINA
PAS;PASAJE
PBO;PUERTO BOLIVAR
PEC;PEDRO CARBO
PED;PEDERNALES
PEN;PENINSULA
PET;PETRILLO
PIÑ;PIÑAS
PLA;PLAYAS
PLO;PUERTO LOPEZ
POE;PONCE ENRIQUEZ
POR;PORTOVIEJO
POS;POSORJA
PSC;PASCUALES
PTL;PUERTO LOPEZ
PUN;PUNTA CARNERO
PUNL;PUENTE LUCIA
PUY;PUYO
PVE;PORTOVELO
PVI;PUEBLO VIEJO
QTO;QUITO NORTE
QTS;QUITO SUR
QUE;QUEVEDO
QUI;QUININDE
RIO;RIOBAMBA
ROC;ROCAFUERTE
SAJ;SAN JUAN
SAL;SALINAS
SAN;SANTA ANA
SAR;SAN RAFAEL
SCA;SAN CARLOS
SCB;SAN CARLOS BALAO
SCL;SAN CLEMENTE
SCR;SANTA CRUZ
SDO;SANTO DOMINGO
SEL;SANTA ELENA
SGA;SAN GABRIEL-TUL
SGO;SANGOLQUI
SHU;SHUSHUFINDI
SLO;SAN LORENZO
SLT;SALITRE
SLU;SANTA LUCIA
SMA;SAN MATEO
SMI;SAN MIGUEL
SPA;SAN PABLO
SRG;SARAGURO
SRO;SANTA ROSA
SRS;SANTA ROSA-SALINAS
SUC;SUCRE
SVI;SAN VICENTE
SVT;SAN VICENTE
TEN;TENGUEL
TOS;TOSAGUA
TRN;TRONCAL
TUL;TULCAN
TUM;TUMBACO
UIO;QUITO CENTRO
VEN;VENTANAS
VIN;VINCES
YAG;YAGUACHI
YAN;YANZATZA
ZAM;ZAMORA
ZAR;ZARUMA
