codemp;tipo;numero;cod_clie;cod_vend;dias;mes;anio;hora;fecha;subtotal;descuento;impuesto;total;forma_pago;ciudad;zona
10;FA;5223;2022;18        ;22;1;2015;13:45,1;13:45,1;177,6784696;0;21,3214164;199;N;GYE;GUA
10;FA;5423;2022;18        ;13;2;2015;09:36,2;09:36,2;163,92836;0;19,6714032;183,6;N;GYE;GUA
10;FA;5424;2022;18        ;13;2;2015;14:03,9;14:03,9;45,99106;0;5,5189272;51,51;N;GYE;GUA
10;FA;5488;2022;18        ;23;2;2015;12:32,4;12:32,4;244,64283;0;29,3571396;274;N;GYE;GUA
10;FA;54431;2022;18        ;19;5;2015;03:25,1;03:25,1;193,88329;0;23,2659948;217,15;N;GYE;GUA
10;FA;54704;2022;18        ;22;6;2015;05:51,3;05:51,3;135,71427;0;16,2857124;152;N;GYE;GUA
10;DE;54883;2022;35        ;10;4;2018;50:33,9;50:33,9;196,3927;0;23,5671;219,96;N;GYE;GUA
10;FA;546625;2022;35        ;7;9;2017;03:04,4;03:04,4;324,1801494;0,6;38,8296179;362,41;N;GYE;GUA
10;FA;546970;2022;35        ;5;10;2017;33:25,6;33:25,6;1030,951755;9,8;122,5382106;1143,69;N;GYE;GUA
10;FA;547126;2022;35        ;18;10;2017;33:38,3;33:38,3;982,1435772;0;117,8572293;1100;N;GYE;GUA
10;FA;547467;2022;35        ;13;11;2017;55:57,2;55:57,2;1048,607141;7,5;124,9328569;1166,04;N;GYE;GUA
10;FA;548371;2022;35        ;14;2;2018;04:41,9;04:41,9;471,428568;0;56,5714282;528;N;GYE;GUA
10;FA;548577;2022;35        ;9;3;2018;10:17,3;10:17,3;411,0725062;72,023809;40,6858437;379,73;N;GYE;GUA
10;FA;5257;1363;6         ;5;2;2015;01:02,5;01:02,5;1339,285658;0;160,7142789;1500;N;IBA;GUA
10;DE;54137;1363;6         ;31;8;2015;52:30,7;52:30,7;118,125;0;14,175;132,3;N;GYE;GUA
10;DE;54154;1363;6         ;24;9;2015;04:10,9;04:10,9;1496,5986;0;179,5918;1676,19;N;GYE;GUA
